name,ingredients,measurements
A1,"['gin', 'grand marnier', 'lemon juice', 'grenadine']","['1 3/4 shot', '1 Shot', '1/4 Shot', '1/8 Shot']"
Ace,"['gin', 'grenadine', 'heavy cream', 'milk', 'egg white']","['2 shots', '1/2 shot', '1/2 shot', '1/2 shot', '1/2 Fresh']"
Addison,"['gin', 'vermouth']","['1 1/2 shot', '1 1/2 shot']"
Aviation,"['gin', 'lemon juice', 'maraschino liqueur']","['4.5 cl', '1.5 cl', '1.5 cl']"
Addington,"['sweet vermouth', 'dry vermouth', 'soda water']","['2 shots', '1 shot', 'Top up with']"
Bijou,"['orange bitters', 'green chartreuse', 'gin', 'sweet vermouth']","['1 dash', '1 oz', '1 oz', '1 oz']"
Brooklyn,"['rye whiskey', 'dry vermouth', 'maraschino liqueur', 'angostura bitters', 'maraschino cherry']","['2 oz', '1 oz', '1/4 oz', '3 dashes', '1']"
Brigadier,"['hot chocolate', 'green chartreuse', 'cherry heering']","['4 oz', '1 oz', '1 oz']"
Broadside,"['151 proof rum', 'scotch', 'bitters', 'wormwood', 'ice']","['1 shot', '1/2 shot', '3 drops', '1 Fresh', 'cubes']"
Bahama Mama,"['rum', 'dark rum', 'banana liqueur', 'grenadine', 'pineapple juice', 'orange juice', 'sweet and sour']","['3 parts', '1 part', '1 part', '1 part', '2 parts', '2 parts', '1 part']"
Cream Soda,"['spiced rum', 'ginger ale']","['1 oz', '']"
Corn n Oil,"['lime', 'falernum', 'angostura bitters', 'añejo rum', 'blackstrap rum']","['1/2', '1/3 oz', '2 dashes', '1 oz', '1 oz']"
Cosmopolitan,"['vodka', 'lime juice', 'cointreau', 'cranberry juice']","['1 1/4 oz', '1/4 oz', '1/4 oz', '1/4 cup']"
Corpse Reviver,"['gin', 'triple sec', 'lillet blanc', 'lemon juice', 'absinthe']","['3/4 oz', '3/4 oz', '3/4 oz', '3/4 oz', '1 dash']"
Dry Martini,"['gin', 'dry vermouth', 'olive']","['1 2/3 oz', '1/3 oz', '1']"
Dirty Martini,"['vodka', 'dry vermouth', 'olive brine', 'lemon', 'olive']","['70ml/2fl oz', '1 tbsp', '2 tbsp', '1 wedge', '1']"
Dark Caipirinha,"['demerara sugar', 'lime', 'cachaca']","['2 tsp', '1', '2 1/2 oz']"
Duchamp's Punch,"['pisco', 'lime juice', 'pineapple syrup', 'st. germain', 'angostura bitters', 'pepper', 'lavender']","['5 cl', '2.5 cl', '2.5 cl', '1.5 cl', '2 Dashes', 'Pinch', '2 sprigs']"
Death in the Afternoon,"['absinthe', 'champagne']","['2 shots', 'Top']"
Espresso Martini,"['vodka', 'kahlua', 'sugar syrup']","['5 cl', '1 cl', '1 dash']"
Espresso Rumtini,"['rum', 'vanilla syrup', 'espresso', 'coffee']","['1 shot', '1/2 shot', '1 shot', '1 shot']"
Elderflower Caipirinha,"['cachaca', 'lime', 'elderflower cordial']","['60 ml', '1', '3 cl']"
Empellón Cocina's Fat-Washed Mezcal,"['mezcal', 'chocolate liqueur', 'coffee liqueur']","['2 oz', '3/4 oz', '1/2 oz']"
Frosé,"['rose', 'sugar', 'strawberries', 'lemon juice']","['750 ml', '1/2 cup', '8 oz', '2-3 oz']"
Figgy Thyme,"['vodka', 'honey', 'figs', 'thyme', 'angostura bitters', 'tonic water']","['2 oz', '1 tsp', '3', '1 Sprig', '2 dashes', 'Top']"
Funk and Soul,"['rum', 'apricot nectar', 'pomegranate juice', 'lemon', 'soda water']","['2 shots', '1 shot', '1 shot', 'Juice of 1/2', 'Top']"
French Martini,"['vodka', 'raspberry liqueur', 'pineapple juice']","['4.5 cl', '1.5 cl', '1.5 cl']"
French Negroni,"['gin', 'lillet', 'sweet vermouth', 'orange peel']","['1 oz', '1 oz', '1 oz', '1']"
Flaming Lamborghini,"['kahlua', 'sambuca', 'blue curacao', 'baileys irish cream']","['1 oz', '1 oz', '1 oz', '1 oz']"
Gimlet,"['gin', 'lime juice', 'sugar syrup', 'lime']","['2 1/2 oz', '1/2 oz', '1/2 oz', '1']"
Gagliardo,"['peach vodka', 'lemon juice', 'galliano', 'sirup of roses']","['5 parts', '3 parts', '1 part', '1 part']"
Gin Tonic,"['gin', 'tonic water', 'lemon peel', 'ice']","['4 cl', '10 cl', '1 Slice', 'cubes']"
Gin Lemon,"['gin', 'lemon juice', 'lemon peel', 'ice']","['6 cl', '8 cl', '1 Slice', 'cubes']"
